Price,Id,Size,Format,City,Impression,B01001001,B01001002,B01001003,B01001004,B01001005,B01001006,B01001007,B01001008,B01001009,B01001010,B01001011,B01001012,B01001013,B01001014,B01001015,B01001016,B01001017,B01001018,B01001019,B01001020,B01001021,B01001022,B01001023,B01001024,B01001025,B01001026,B01001027,B01001028,B01001029,B01001030,B01001031,B01001032,B01001033,B01001034,B01001035,B01001036,B01001037,B01001038,B01001039,B01001040,B01001041,B01001042,B01001043,B01001044,B01001045,B01001046,B01001047,B01001048,B01001049,B01002001,B01002002,B01002003,B08008001,B08008002,B08008003,B08008004,B08008005,B08008006,B08008007,B08008008,B08008009,B08008010,B08008011,B08008012,B08008013,B08008014,B08008015,B09019001,B09019002,B09019003,B09019004,B09019005,B09019006,B09019007,B09019008,B09019009,B09019010,B09019011,B09019012,B09019013,B09019014,B09019015,B09019016,B09019017,B09019018,B09019019,B09019020,B09019021,B09019022,B09019023,B09019024,B09019025,B09019026,B14002001,B14002002,B14002003,B14002004,B14002005,B14002006,B14002007,B14002008,B14002009,B14002010,B14002011,B14002012,B14002013,B14002014,B14002015,B14002016,B14002017,B14002018,B14002019,B14002020,B14002021,B14002022,B14002023,B14002024,B14002025,B14002026,B14002027,B14002028,B14002029,B14002030,B14002031,B14002032,B14002033,B14002034,B14002035,B14002036,B14002037,B14002038,B14002039,B14002040,B14002041,B14002042,B14002043,B14002044,B14002045,B14002046,B14002047,B14002048,B14002049,B14003001,B14003002,B14003003,B14003004,B14003005,B14003006,B14003007,B14003008,B14003009,B14003010,B14003011,B14003012,B14003013,B14003014,B14003015,B14003016,B14003017,B14003018,B14003019,B14003020,B14003021,B14003022,B14003023,B14003024,B14003025,B14003026,B14003027,B14003028,B14003029,B14003030,B14003031,B14003032,B14003033,B14003034,B14003035,B14003036,B14003037,B14003038,B14003039,B14003040,B14003041,B14003042,B14003043,B14003044,B14003045,B14003046,B14003047,B14003048,B14003049,B14003050,B14003051,B14003052,B14003053,B14003054,B14003055,B14003056,B14003057,B14004001,B14004002,B14004003,B14004004,B14004005,B14004006,B14004007,B14004008,B14004009,B14004010,B14004011,B14004012,B14004013,B14004014,B14004015,B14004016,B14004017,B14004018,B14004019,B14004020,B14004021,B14004022,B14004023,B14004024,B14004025,B14004026,B14004027,B14004028,B14004029,B14004030,B14004031,B14004032,B14004033,B14007001,B14007002,B14007003,B14007004,B14007005,B14007006,B14007007,B14007008,B14007009,B14007010,B14007011,B14007012,B14007013,B14007014,B14007015,B14007016,B14007017,B14007018,B14007019,B15002001,B15002002,B15002003,B15002004,B15002005,B14004006,B14004007,B14004008,B14004009,B14004010,B14004011,B14004012,B14004013,B14004014,B14004015,B14004016,B14004017,B14004018,B14004019,B14004020,B14004021,B14004022,B14004023,B14004024,B14004025,B14004026,B14004027,B14004028,B14004029,B14004030,B14004031,B14004032,B14004033,B14007001,B14007002,B14007003,B14007004,B14007005,B14007006,B14007007,B14007008,B14007009,B14007010,B14007011,B14007012,B14007013,B14007014,B14007015,B14007016,B14007017,B14007018,B14007019,B15002001,B15002002,B15002003,B15002004,B15002005,B15002006,B15002007,B15002008,B15002009,B15002010,B15002011,B15002012,B15002013,B15002014,B15002015,B15002016,B15002017,B15002018,B15002019,B15002020,B15002021,B15002022,B15002023,B15002024,B15002025,B15002026,B15002027,B15002028,B15002029,B15002030,B15002031,B15002032,B15002033,B15002034,B15002035,B23025001,B23025002,B23025003,B23025004,B23025005,B23025006,B23025007,B24080001,B24080002,B24080003,B24080004,B24080005,B24080006,B24080007,B24080008,B24080009,B24080010,B24080011,B24080012,B24080013,B24080014,B24080015,B24080016,B24080017,B24080018,B24080019,B24080020,B24080021,B25002001,B25002002,B25002003,B25003001,B25003002,B25003003,B25034001,B25034002,B25034003,B25034004,B25034005,B25034006,B25034007,B25034008,B25034009,B25034010,B25034011,Aggr_lanes,primaryRoad,primary_linkRoad,secondaryRoad,secondary_linkRoad,tertiaryRoad,tertiary_linkRoad,unclassifiedRoad,residentialRoad,serviceRoad,trackRoad,footwayRoad,pathRoad,traffic_signals,aggr_residential_zone,aggr_commercial_zone,aggr_natural_zone,BFP_Count,BFP_Area
700,1,44.6,Individual,Lacassine LA,68992,5384,2919,213,152,169,64,86,20,0,333,87,225,276,187,178,167,146,18,164,57,77,134,69,14,83,2465,208,105,195,126,60,0,0,76,106,169,353,138,193,145,131,46,119,46,45,120,27,57,0,39,38,39,2182,102,0,102,2080,1159,62,0,62,1097,1023,40,0,40,983,5384,5384,1740,877,163,714,863,106,757,1072,0,294,0,1994,1596,54,344,242,2,0,0,17,1,0,22,0,5141,2792,600,10,0,10,47,13,34,100,60,40,147,104,43,48,48,0,248,230,18,0,0,0,2192,2349,350,20,20,0,10,10,0,107,59,48,91,91,0,71,65,6,44,44,0,7,7,0,1999,5141,2792,455,0,67,94,64,26,189,15,0,145,10,42,75,0,0,18,0,0,2192,76,43,0,0,60,146,297,1570,2349,296,8,81,91,65,29,0,17,5,54,0,24,24,6,0,0,0,0,1999,84,0,80,55,31,76,258,1415,4342,2385,230,0,215,15,0,18,0,18,0,0,2137,64,206,297,1570,1957,51,0,29,17,5,0,0,0,0,0,1906,126,107,258,1415,5141,950,30,57,28,61,58,60,74,43,44,77,0,40,35,44,292,7,4191,3577,1882,1,0,72,15,0,18,0,18,0,0,2137,64,206,297,1570,1957,51,0,29,17,5,0,0,0,0,0,1906,126,107,258,1415,5141,950,30,57,28,61,58,60,74,43,44,77,0,40,35,44,292,7,4191,3577,1882,1,0,72,15,25,10,21,48,1098,66,294,119,104,9,0,0,1695,11,0,29,18,0,0,20,10,538,86,201,284,200,298,0,0,4241,2367,2367,2211,156,0,1874,2211,1169,830,759,71,18,75,27,11,208,0,1042,808,808,0,62,26,111,0,35,0,2150,1740,410,1740,1528,212,2150,0,486,396,322,252,191,34,151,149,169,38,9,1,5,0,11,0,4,102,43,5,4,0,0,2,1,29,22,694.83
700,2,44.6,Individual,Lacassine LA,68992,5384,2919,213,152,169,64,86,20,0,333,87,225,276,187,178,167,146,18,164,57,77,134,69,14,83,2465,208,105,195,126,60,0,0,76,106,169,353,138,193,145,131,46,119,46,45,120,27,57,0,39,38,39,2182,102,0,102,2080,1159,62,0,62,1097,1023,40,0,40,983,5384,5384,1740,877,163,714,863,106,757,1072,0,294,0,1994,1596,54,344,242,2,0,0,17,1,0,22,0,5141,2792,600,10,0,10,47,13,34,100,60,40,147,104,43,48,48,0,248,230,18,0,0,0,2192,2349,350,20,20,0,10,10,0,107,59,48,91,91,0,71,65,6,44,44,0,7,7,0,1999,5141,2792,455,0,67,94,64,26,189,15,0,145,10,42,75,0,0,18,0,0,2192,76,43,0,0,60,146,297,1570,2349,296,8,81,91,65,29,0,17,5,54,0,24,24,6,0,0,0,0,1999,84,0,80,55,31,76,258,1415,4342,2385,230,0,215,15,0,18,0,18,0,0,2137,64,206,297,1570,1957,51,0,29,17,5,0,0,0,0,0,1906,126,107,258,1415,5141,950,30,57,28,61,58,60,74,43,44,77,0,40,35,44,292,7,4191,3577,1882,1,0,72,15,0,18,0,18,0,0,2137,64,206,297,1570,1957,51,0,29,17,5,0,0,0,0,0,1906,126,107,258,1415,5141,950,30,57,28,61,58,60,74,43,44,77,0,40,35,44,292,7,4191,3577,1882,1,0,72,15,25,10,21,48,1098,66,294,119,104,9,0,0,1695,11,0,29,18,0,0,20,10,538,86,201,284,200,298,0,0,4241,2367,2367,2211,156,0,1874,2211,1169,830,759,71,18,75,27,11,208,0,1042,808,808,0,62,26,111,0,35,0,2150,1740,410,1740,1528,212,2150,0,486,396,322,252,191,34,151,149,169,40,10,1,15,0,12,0,4,138,52,3,17,0,0,3,1,30,12,486
700,3,44.6,Stacked,Lacassine LA,68992,4641,2198,174,162,93,69,111,15,28,97,246,142,127,108,93,52,223,70,111,15,70,118,33,33,7,2443,261,237,140,67,40,8,63,98,200,135,82,121,118,120,172,86,91,73,140,67,61,20,41,34,34,35,1952,892,277,615,1060,1080,436,128,308,645,872,456,150,307,416,4641,4600,1650,847,95,751,803,222,581,893,11,113,3,1366,1307,36,23,283,52,84,0,9,68,0,68,41,4440,2060,420,1,1,0,38,38,0,131,98,33,68,59,9,115,89,26,53,48,5,14,9,5,1640,2380,594,127,99,29,15,0,15,142,95,46,132,95,37,76,51,25,94,88,6,8,8,0,1785,4440,2060,342,1,129,66,61,44,28,13,0,78,0,33,27,8,0,5,0,5,1640,34,0,0,0,68,107,376,1056,2380,436,16,176,103,46,23,30,22,21,158,29,62,37,21,4,6,0,0,1785,153,0,0,0,14,134,314,1171,3574,1770,57,0,48,9,0,10,0,5,0,5,1703,69,199,379,1056,1805,95,0,52,22,21,6,0,6,0,0,1703,67,151,314,1171,4440,1014,129,53,172,12,47,41,100,9,53,37,23,48,90,30,147,21,3425,2976,1448,5,0,0,9,0,10,0,5,0,5,1703,69,199,379,1056,1805,95,0,52,22,21,6,0,6,0,0,1703,67,151,314,1171,4440,1014,129,53,172,12,47,41,100,9,53,37,23,48,90,30,147,21,3425,2976,1448,5,0,0,17,9,14,29,150,646,42,190,52,224,60,6,5,1528,1,0,2,33,25,29,15,37,700,70,210,102,202,99,4,0,3542,2139,2108,1949,160,31,1402,1949,1057,831,815,16,39,30,44,6,107,0,892,577,560,17,134,69,57,26,29,0,1933,1650,282,1650,1274,376,1933,0,190,556,300,358,164,101,135,46,82,26,4,0,35,0,5,0,8,447,183,10,1,0,0,1,0,42,38,919.75
700,4,44.6,Individual,Baldwin LA,24379,1534,876,6,0,44,21,2,11,37,0,55,102,127,27,64,56,93,30,32,33,30,46,34,17,11,658,35,12,63,15,19,3,11,17,36,12,39,29,25,68,99,24,35,0,37,39,12,9,20,48,46,51,552,391,54,336,162,313,250,26,224,63,240,140,28,112,99,1534,1526,600,311,149,162,288,62,226,171,0,31,0,460,452,0,7,58,38,50,0,12,66,0,41,8,1515,876,95,0,0,0,0,0,0,0,0,0,44,40,4,23,21,2,28,28,0,0,0,0,781,639,143,16,13,3,0,0,0,27,27,0,47,47,0,21,21,0,27,21,7,4,4,0,496,1515,876,89,0,0,40,21,0,18,10,0,5,0,0,4,0,2,0,0,0,781,6,0,0,0,0,30,147,599,639,133,13,12,63,15,11,5,10,4,10,3,0,0,0,7,0,0,0,496,0,0,0,0,1,25,38,433,1374,826,28,0,18,10,0,0,0,0,0,0,798,21,32,147,599,548,24,0,16,4,4,7,0,7,0,0,517,15,26,44,433,1515,238,16,0,4,3,5,15,29,13,42,8,7,25,4,8,55,4,1277,1239,756,0,29,12,10,0,0,0,0,0,0,798,21,32,147,599,548,24,0,16,4,4,7,0,7,0,0,517,15,26,44,433,1515,238,16,0,4,3,5,15,29,13,42,8,7,25,4,8,55,4,1277,1239,756,0,29,12,15,37,12,18,4,461,14,60,26,58,2,0,8,484,16,0,23,0,14,21,1,20,231,8,72,47,20,12,0,0,1363,585,585,566,19,0,779,566,324,255,244,12,7,17,15,11,20,0,242,184,177,8,15,10,22,0,11,0,907,600,308,600,343,256,907,0,46,265,86,170,121,57,95,0,66,34,8,0,25,2,12,0,2,309,66,2,0,0,0,0,0,21,125,1430.83
825,6,44.6,Individual,Lacassine LA,68992,5384,2919,213,152,169,64,86,20,0,333,87,225,276,187,178,167,146,18,164,57,77,134,69,14,83,2465,208,105,195,126,60,0,0,76,106,169,353,138,193,145,131,46,119,46,45,120,27,57,0,39,38,39,2182,102,0,102,2080,1159,62,0,62,1097,1023,40,0,40,983,5384,5384,1740,877,163,714,863,106,757,1072,0,294,0,1994,1596,54,344,242,2,0,0,17,1,0,22,0,5141,2792,600,10,0,10,47,13,34,100,60,40,147,104,43,48,48,0,248,230,18,0,0,0,2192,2349,350,20,20,0,10,10,0,107,59,48,91,91,0,71,65,6,44,44,0,7,7,0,1999,5141,2792,455,0,67,94,64,26,189,15,0,145,10,42,75,0,0,18,0,0,2192,76,43,0,0,60,146,297,1570,2349,296,8,81,91,65,29,0,17,5,54,0,24,24,6,0,0,0,0,1999,84,0,80,55,31,76,258,1415,4342,2385,230,0,215,15,0,18,0,18,0,0,2137,64,206,297,1570,1957,51,0,29,17,5,0,0,0,0,0,1906,126,107,258,1415,5141,950,30,57,28,61,58,60,74,43,44,77,0,40,35,44,292,7,4191,3577,1882,1,0,72,15,0,18,0,18,0,0,2137,64,206,297,1570,1957,51,0,29,17,5,0,0,0,0,0,1906,126,107,258,1415,5141,950,30,57,28,61,58,60,74,43,44,77,0,40,35,44,292,7,4191,3577,1882,1,0,72,15,25,10,21,48,1098,66,294,119,104,9,0,0,1695,11,0,29,18,0,0,20,10,538,86,201,284,200,298,0,0,4241,2367,2367,2211,156,0,1874,2211,1169,830,759,71,18,75,27,11,208,0,1042,808,808,0,62,26,111,0,35,0,2150,1740,410,1740,1528,212,2150,0,486,396,322,252,191,34,151,149,169,38,9,1,5,0,11,0,4,102,43,5,4,0,0,2,1,29,22,694.83
700,7,44.6,Stacked,Breaux Bridge LA,84029,4651,2202,173,162,94,69,112,15,29,96,248,142,126,108,93,52,225,70,111,15,70,117,33,33,7,2448,263,238,140,68,41,8,63,99,202,135,82,121,118,121,172,87,92,73,139,66,61,19,41,34,34,35,1958,882,274,608,1075,1085,431,127,304,654,872,451,148,304,421,4651,4610,1652,848,95,753,804,220,584,897,11,113,3,1370,1311,36,23,285,50,84,0,10,67,0,68,40,4449,2064,421,1,1,0,38,38,0,131,99,33,68,59,9,115,89,26,53,48,5,14,9,5,1643,2385,597,129,100,29,16,0,16,140,94,47,133,96,37,77,51,25,95,89,6,8,8,0,1789,4449,2064,344,1,129,67,61,44,29,13,0,77,0,33,27,8,0,5,0,5,1643,34,0,0,0,69,105,378,1057,2385,438,16,175,104,46,23,30,22,21,159,29,62,37,21,4,6,0,0,1789,155,0,0,0,14,134,315,1171,3581,1774,57,0,48,9,0,10,0,5,0,5,1706,69,199,382,1057,1808,96,0,53,22,21,6,0,6,0,0,1706,68,152,315,1171,4449,1018,130,54,171,13,47,41,101,9,54,37,23,49,90,30,148,21,3431,2982,1452,5,0,0,9,0,10,0,5,0,5,1706,69,199,382,1057,1808,96,0,53,22,21,6,0,6,0,0,1706,68,152,315,1171,4449,1018,130,54,171,13,47,41,101,9,54,37,23,49,90,30,148,21,3431,2982,1452,5,0,0,17,8,13,28,151,648,42,190,52,225,60,6,5,1530,1,0,2,33,25,29,15,37,700,70,210,102,203,99,4,0,3548,2146,2114,1954,160,32,1403,1954,1061,835,819,16,39,31,44,6,107,0,893,578,560,18,134,68,58,25,30,0,1935,1652,283,1652,1278,375,1935,0,190,558,302,358,163,101,134,46,81,26,4,0,36,0,5,0,8,452,192,11,1,0,0,1,0,42,40,409.11
700,8,44.6,Individual,New Iberia LA,50629,3947,2079,136,296,114,177,16,61,33,72,125,138,68,246,28,66,116,108,54,49,15,71,55,16,20,1868,68,190,42,13,19,0,21,96,126,170,262,75,57,79,183,79,54,28,57,96,71,53,30,36,30,38,1640,198,124,75,1441,891,124,77,47,767,748,74,46,28,674,3947,3941,1275,668,85,584,607,114,493,843,0,128,2,1280,1197,12,71,59,0,17,17,0,128,0,192,6,3871,2052,700,51,51,0,2,2,0,308,251,57,138,138,0,156,124,31,46,41,5,0,0,0,1351,1819,330,2,2,0,57,57,0,130,36,94,41,20,21,32,30,2,68,68,0,0,0,0,1489,3871,2052,607,51,251,102,158,2,44,0,0,93,0,44,13,20,12,5,0,0,1351,58,0,0,0,3,117,263,910,1819,213,0,96,21,13,19,20,21,24,117,0,94,21,0,0,0,0,2,1489,19,0,0,0,0,98,274,1099,3102,1533,41,0,41,0,0,5,0,5,0,0,1487,177,136,263,910,1568,68,0,34,21,13,0,0,0,0,0,1501,13,103,274,1111,3871,1030,53,59,115,98,0,225,41,32,45,61,27,20,2,139,114,0,2841,2593,1173,2,0,49,0,0,5,0,5,0,0,1487,177,136,263,910,1568,68,0,34,21,13,0,0,0,0,0,1501,13,103,274,1111,3871,1030,53,59,115,98,0,225,41,32,45,61,27,20,2,139,114,0,2841,2593,1173,2,0,49,42,6,118,61,0,558,75,160,15,67,1,20,0,1420,25,0,59,14,11,74,21,20,607,69,107,245,162,2,3,1,3038,1834,1834,1644,190,0,1204,1644,894,701,665,36,7,55,0,2,129,0,750,590,590,0,33,54,18,6,49,0,1407,1275,132,1275,866,409,1407,0,33,213,163,309,266,61,146,75,141,72,17,0,56,1,34,0,4,851,688,6,205,18,0,17,28,28,179,1904.76
850,9,44.6,Individual,Carencro LA,85381,5692,2727,302,152,284,164,19,28,16,97,119,223,218,133,117,112,280,77,113,28,110,29,64,30,12,2965,217,130,392,76,11,55,100,33,82,387,170,163,104,109,168,56,70,71,139,143,172,89,28,35,33,35,2382,2031,254,1777,351,1253,1061,146,915,192,1129,970,108,862,159,5692,5564,2199,829,395,434,1370,428,942,839,0,97,4,1987,1953,13,21,149,116,124,25,14,0,0,10,128,5364,2550,655,0,0,0,0,0,0,152,65,87,239,239,0,164,160,4,100,87,13,0,0,0,1895,2814,733,14,14,0,0,0,0,130,29,101,367,307,60,78,53,25,144,144,0,0,0,0,2081,5364,2550,551,0,65,239,160,19,68,0,0,104,0,87,0,4,0,0,0,13,1895,125,0,45,0,0,73,342,1310,2814,547,14,29,307,53,11,119,14,0,186,0,101,85,0,0,0,0,0,2081,52,0,0,23,0,69,455,1482,4215,1989,87,0,87,0,0,13,0,0,0,13,1889,164,73,342,1310,2226,144,0,130,14,0,0,0,0,0,0,2082,76,69,455,1482,5364,1388,14,0,168,37,20,57,190,116,175,125,84,61,47,50,244,0,3976,3616,1665,1,7,0,0,0,13,0,0,0,13,1889,164,73,342,1310,2226,144,0,130,14,0,0,0,0,0,0,2082,76,69,455,1482,5364,1388,14,0,168,37,20,57,190,116,175,125,84,61,47,50,244,0,3976,3616,1665,1,7,0,47,67,93,0,44,644,113,200,137,144,148,2,18,1951,117,0,32,58,14,110,60,38,718,118,263,194,105,101,23,0,4133,2519,2519,2417,102,0,1614,2417,1253,863,819,44,28,88,18,33,223,0,1164,813,813,0,135,108,24,0,71,13,2359,2199,160,2199,1573,626,2359,113,583,277,157,470,354,253,102,25,25,65,31,0,37,4,50,0,15,684,146,1,3,0,2,4,0,15,75,6949.72
700,10,44.6,Individual,New Iberia LA,44507,3879,1939,103,320,171,162,0,70,75,49,102,130,50,201,20,71,84,86,42,36,16,77,43,8,24,1940,91,222,41,98,69,0,29,73,126,166,259,58,58,50,169,61,43,17,61,130,53,38,28,31,26,34,1478,49,0,49,1429,754,44,0,44,710,723,5,0,5,719,3879,3840,1167,592,62,529,575,94,481,718,0,100,0,1486,1404,0,81,50,0,14,14,35,100,0,158,39,3820,1914,745,34,34,0,2,2,0,346,301,45,180,180,0,125,110,16,46,32,14,12,0,12,1169,1906,543,0,0,0,42,42,0,180,106,74,68,51,17,165,165,0,88,88,0,0,0,0,1363,3820,1914,659,34,285,161,146,0,32,0,0,87,0,35,10,16,0,14,12,0,1169,43,0,0,0,0,147,221,757,1906,452,0,148,24,98,69,13,13,88,91,0,74,17,0,0,0,0,0,1363,57,0,0,0,0,89,280,936,2931,1346,32,0,32,0,0,26,0,14,12,0,1287,162,147,221,757,1585,88,0,23,13,53,0,0,0,0,0,1497,98,147,280,972,3820,1289,34,43,194,127,0,205,30,34,58,126,110,26,11,144,135,12,2531,2307,990,7,3,44,0,0,26,0,14,12,0,1287,162,147,221,757,1585,88,0,23,13,53,0,0,0,0,0,1497,98,147,280,972,3820,1289,34,43,194,127,0,205,30,34,58,126,110,26,11,144,135,12,2531,2307,990,7,3,44,41,9,90,50,2,468,69,140,25,30,0,12,0,1317,22,1,60,38,2,65,9,9,558,66,100,211,167,1,0,10,2784,1747,1747,1478,270,0,1037,1478,754,581,557,24,4,44,0,10,115,0,723,551,551,0,24,88,17,5,38,0,1328,1167,161,1167,766,400,1328,0,80,232,143,319,263,54,82,47,107,72,18,0,56,2,34,0,4,815,638,3,184,18,0,19,31,33,23,2640.87
700,11,44.6,Individual,New Iberia LA,50629,3547,1788,79,240,14,69,66,28,0,67,234,94,19,205,76,45,149,79,43,38,6,110,41,38,46,1760,100,205,67,29,25,13,11,263,149,19,51,112,108,96,120,73,83,43,30,73,34,24,32,33,37,34,1565,380,116,263,1185,956,245,31,215,710,609,134,86,49,475,3547,3538,1391,943,171,772,447,102,345,708,0,301,0,1033,922,52,58,33,44,14,0,0,14,0,0,10,3430,1770,383,149,149,0,28,28,0,82,71,11,4,4,0,109,83,26,11,1,10,0,0,0,1387,1660,514,12,12,0,42,42,0,168,168,0,65,49,15,29,29,0,164,131,33,34,34,0,1146,3430,1770,336,19,229,14,69,5,0,0,0,47,0,11,0,0,36,0,0,0,1387,43,0,0,0,26,95,328,896,1660,465,0,205,67,29,0,58,59,49,48,0,0,0,0,25,0,0,23,1146,0,0,0,0,0,230,109,807,2843,1454,1,0,1,0,0,10,0,10,0,0,1443,69,150,328,896,1389,165,0,58,59,49,33,0,9,0,23,1191,29,245,109,807,3430,896,161,70,76,34,122,18,5,26,22,15,58,28,30,22,176,34,2534,2271,1224,22,0,50,0,0,10,0,10,0,0,1443,69,150,328,896,1389,165,0,58,59,49,33,0,9,0,23,1191,29,245,109,807,3430,896,161,70,76,34,122,18,5,26,22,15,58,28,30,22,176,34,2534,2271,1224,22,0,50,47,83,6,87,65,568,24,135,88,44,3,5,0,1047,10,0,0,0,7,0,7,0,603,89,92,142,49,17,32,0,2794,1686,1686,1623,63,0,1108,1623,1013,774,745,29,14,45,0,0,180,0,609,446,417,29,15,90,54,0,4,0,1463,1391,73,1391,1005,386,1463,0,137,186,368,201,322,63,93,52,40,68,13,1,39,1,26,0,1,677,620,7,150,13,0,18,21,22,15,821.99
